venue_name,city,country,capacity,stages_hosted
Narendra Modi Stadium,Ahmedabad,India,132000,"Group D, Super Eight Group 1, Semi-Final 1, Final"
Wankhede Stadium,Mumbai,India,33000,"Group C, Super Eight Group 1, Semi-Final 2"
Eden Gardens,Kolkata,India,68000,"Group C, Super Eight Group 1"
M.A. Chidambaram Stadium,Chennai,India,50000,"Group D, Super Eight Group 2"
Arun Jaitley Stadium,Delhi,India,41000,"Group A/D, Super Eight Group 1"
R. Premadasa Stadium,Colombo,Sri Lanka,35000,"Group A/B, Super Eight Group 1/2"
Sinhalese Sports Club,Colombo,Sri Lanka,10000,Group A
Pallekele Cricket Stadium,Kandy,Sri Lanka,35000,"Group B, Super Eight Group 1/2"
